Date,Price,Open,High,Low,Vol.,Change %
2023-10-13,83.26,83.25,83.30,83.21,,0.00
2023-10-12,83.29,83.18,83.30,83.13,,0.00
2023-10-11,83.16,83.22,83.25,83.12,,0.00
2023-10-10,83.16,83.27,83.28,83.17,,0.00
2023-10-09,83.25,83.19,83.35,83.16,,0.00
2023-10-06,83.12,83.22,83.30,83.12,,0.00
2023-10-05,83.20,83.21,83.31,83.18,,0.00
2023-10-04,83.25,83.24,83.35,83.17,,0.00
2023-10-03,83.21,83.23,83.27,83.13,,0.00
2023-10-02,83.17,83.17,83.23,83.12,,0.00
2023-09-29,83.03,83.21,83.21,83.01,,0.00
2023-09-28,83.15,83.24,83.27,83.11,,0.00
2023-09-27,83.18,83.30,83.31,83.15,,0.00
2023-09-26,83.23,83.12,83.31,83.10,,0.00
2023-09-25,83.13,83.06,83.18,83.03,,0.00
2023-09-22,82.97,82.88,82.99,82.77,,0.00
2023-09-21,83.10,83.19,83.22,83.01,,0.00
2023-09-20,82.92,83.26,83.30,82.92,,0.00
2023-09-19,83.31,83.25,83.34,83.17,,0.00
2023-09-18,83.27,83.11,83.36,83.09,,0.00
2023-09-15,83.07,83.06,83.20,82.98,,0.00
2023-09-14,83.01,82.92,83.10,82.91,,0.00
2023-09-13,82.93,82.87,83.04,82.86,,0.00
2023-09-12,82.85,82.91,83.02,82.85,,0.00
2023-09-11,82.90,82.96,83.07,82.82,,0.00
2023-09-08,83.00,83.13,83.18,82.90,,0.00
2023-09-07,83.15,83.22,83.27,83.08,,0.00
2023-09-06,83.20,83.08,83.26,82.99,,0.00
2023-09-05,83.03,82.75,83.10,82.71,,0.00
2023-09-04,82.72,82.67,82.79,82.65,,0.00
2023-09-01,82.69,82.65,82.78,82.58,,0.00
2023-08-31,82.70,82.68,82.80,82.58,,0.00
2023-08-30,82.61,82.59,82.82,82.57,,0.00
2023-08-29,82.57,82.65,82.84,82.58,,0.00
2023-08-28,82.60,82.59,82.66,82.53,,0.00
2023-08-25,82.64,82.61,82.74,82.53,,0.00
2023-08-24,82.58,82.58,82.65,82.36,,0.00
2023-08-23,82.51,83.08,83.09,82.45,,-0.01
2023-08-22,83.04,83.11,83.12,82.91,,0.00
2023-08-21,83.09,83.19,83.22,83.02,,0.00
2023-08-18,83.14,83.09,83.22,83.02,,0.00
2023-08-17,83.14,83.22,83.26,82.99,,0.00
2023-08-16,83.22,83.24,83.43,83.08,,0.00
2023-08-15,83.24,83.21,83.47,83.18,,0.00
2023-08-14,83.18,82.88,83.29,82.88,,0.00
2023-08-11,82.90,82.81,82.91,82.74,,0.00
2023-08-10,82.64,82.84,82.88,82.59,,0.00
2023-08-09,82.87,82.88,82.88,82.80,,0.00
2023-08-08,82.88,82.76,82.98,82.76,,0.00
2023-08-07,82.78,82.74,82.79,82.69,,0.00
2023-08-04,82.70,82.76,82.89,82.67,,0.00
2023-08-03,82.76,82.70,82.82,82.67,,0.00
2023-08-02,82.74,82.33,82.79,82.31,,0.00
2023-08-01,82.35,82.24,82.35,82.21,,0.00
2023-07-31,82.25,82.20,82.30,82.20,,0.00
2023-07-28,82.25,82.18,82.38,82.18,,0.00
2023-07-27,82.16,81.93,82.23,81.87,,0.00
2023-07-26,81.96,81.88,82.07,81.86,,0.00
2023-07-25,81.86,81.80,81.90,81.67,,0.00
2023-07-24,81.80,82.01,82.05,81.78,,0.00
2023-07-21,81.99,82.07,82.09,81.92,,0.00
2023-07-20,82.08,82.04,82.08,81.90,,0.00
2023-07-19,82.06,82.06,82.16,82.02,,0.00
2023-07-18,82.07,82.04,82.09,81.96,,0.00
